"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U12,U1,U2";"SOIC127P600X175-14N";3;"LM324";;;
2;"U10,U6,U4,U3,U5,U7,U9";"SO08";7;"LM555";;;
3;"U11";"SN74HC02NSR";1;"SN74HC02NSR";;;
4;"U8";"Teensy35_36";1;"Teensy3.6";;;
5;"C1,C2,C3,C4,C5,C6,C7";"C_0805_2012Metric";7;"C_0.1uF";;;
6;"C8";"C_0805_2012Metric";1;"C_2.2uF";;;
7;"CR1,CR2,CR3,CR4";"BAT60JFILM";4;"BAT60JFILM";;;
8;"J1,J2,J3,J4,J5,J6";"PinHeader_1x07_P2.54mm_Vertical";6;"Conn_01x07_Female";;;
9;"Q1,Q2,Q3,Q4";"SOT-23";4;"MMBT3904";;;
10;"R1,R5,R14";"R_0805_2012Metric";3;"R_1K";;;
11;"R2";"R_0805_2012Metric";1;"R_3.2K";;;
12;"R3,R6,R7";"R_0805_2012Metric";3;"R_200";;;
13;"R4";"R_0805_2012Metric";1;"R_499K";;;
14;"R8";"R_0805_2012Metric";1;"R_20K";;;
15;"R9";"R_0805_2012Metric";1;"R_30K";;;
16;"R10";"R_0805_2012Metric";1;"R_7K";;;
17;"R11,R12,R13";"R_0805_2012Metric";3;"R";;;
18;"R15";"R_0805_2012Metric";1;"R_4K";;;
19;"RA1,RA2,RA3,RA4,RA5,RA6,RA7";"R_0805_2012Metric";7;"28 k";;;
20;"RB1";"R_0805_2012Metric";1;"6.619k";;;
21;"RB2";"R_0805_2012Metric";1;"13.518k";;;
22;"RB3";"R_0805_2012Metric";1;"4.369k";;;
23;"RB4";"R_0805_2012Metric";1;"10.522k";;;
24;"RB5";"R_0805_2012Metric";1;"2.362k";;;
25;"RB6";"R_0805_2012Metric";1;"7.844k";;;
26;"RB7";"R_0805_2012Metric";1;"578";;;
